id,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID
0,Borssele,Hard Coal,Steam Turbine,PP,Netherlands,485.0,,1973.0,,2034.0,51.4332,3.716,,0.0,0.0,0.0,{'49W000000000054X'},"{'BEYONDCOAL': {'BEYOND-NL-2'}, 'ENTSOE': {'49W000000000054X'}, 'GEM': {'G100000500496'}, 'OPSD': {'OEU-97'}, 'WIKIPEDIA': {'WIKIPEDIA-132'}, 'GEO': {'GEO-2401'}, 'GPD': {'WRI1019300'}}"
1,Montpezat,Hydro,Reservoir,Store,France,131.8,,1954.0,,,43.7514,6.0888,,0.0,0.0,0.0,{'17W100B100P0287S'},"{'ENTSOE': {'17W100B100P0287S'}, 'GEM': {'G601679'}, 'JRC': {'JRC-H387'}, 'OPSD': {'OEU-239'}, 'GEO': {'GEO-39820'}, 'GPD': {'WRI1002748'}}"
2,Genissiat,Hydro,Run-Of-River,Store,France,397.5,,1948.0,1948.0,,46.0527,5.8128,,0.0,0.0,0.0,{'17W100P100P0319C'},"{'ENTSOE': {'17W100P100P0319C'}, 'GEM': {'G601658'}, 'JRC': {'JRC-H83'}, 'OPSD': {'OEU-216'}, 'GEO': {'GEO-39698'}, 'GPD': {'WRI1002730'}}"
3,Gerstheim,Hydro,Run-Of-River,PP,France,140.5,,1967.0,,,48.4021,7.7272,,0.0,0.0,0.0,{'17W100P100P0310U'},"{'ENTSOE': {'17W100P100P0310U'}, 'GEM': {'G601659'}, 'JRC': {'JRC-H353'}, 'OPSD': {'OEU-217'}, 'GEO': {'GEO-39807'}, 'GPD': {'WRI1002732'}}"
4,Grand Maison,Hydro,Pumped Storage,Store,France,1700.0,,1987.0,2017.0,,45.1454,6.0515,20.59171597633136,0.0,0.0,0.0,{'17W100P100P02756'},"{'ENTSOE': {'17W100P100P02756'}, 'GEM': {'G601661'}, 'JRC': {'JRC-H3'}, 'OPSD': {'OEU-200'}, 'GEO': {'GEO-42969'}, 'GPD': {'WRI1002734'}}"
5,Kembs,Hydro,Run-Of-River,PP,France,162.1,,1932.0,2016.0,,47.6548,7.5183,,0.0,0.0,0.0,{'17W100P100P0307J'},"{'ENTSOE': {'17W100P100P0307J'}, 'GEM': {'G601664'}, 'JRC': {'JRC-H299', 'JRC-H323'}, 'OPSD': {'OEU-219'}, 'GEO': {'GEO-39780'}, 'GPD': {'WRI1002738'}}"
6,Logis Neuf,Hydro,Run-Of-River,PP,France,191.8,,1960.0,1960.0,,44.6763,4.7868,,0.0,0.0,0.0,"{'17W100P100P0322N', '17W000001017799C'}","{'ENTSOE': {'17W100P100P0322N', '17W000001017799C'}, 'GEM': {'G601671'}, 'JRC': {'JRC-H356'}, 'OPSD': {'OEU-206'}, 'GEO': {'GEO-39759'}, 'GPD': {'WRI1002690'}}"
7,Malgovert,Hydro,Reservoir,Store,France,297.0,,1952.0,,,45.6178,6.791,1370.7070707070707,0.0,0.0,0.0,{'17W100P100P02853'},"{'ENTSOE': {'17W100P100P02853'}, 'GEM': {'G601672'}, 'JRC': {'JRC-H149'}, 'OPSD': {'OEU-237'}, 'GEO': {'GEO-39815'}, 'GPD': {'WRI1002740'}}"
8,Marckolsheim,Hydro,Run-Of-River,PP,France,156.2,,1961.0,,,48.1537,7.5898,,0.0,0.0,0.0,{'17W100P100P0305N'},"{'ENTSOE': {'17W100P100P0305N'}, 'GEM': {'G601674'}, 'JRC': {'JRC-H316'}, 'OPSD': {'OEU-220'}, 'GEO': {'GEO-39808'}, 'GPD': {'WRI1002741'}}"
9,Mareges,Hydro,Run-Of-River,PP,France,150.0,,1935.0,2018.0,,45.3917,2.3646,,0.0,0.0,0.0,{'17W100P100P0328B'},"{'ENTSOE': {'17W100P100P0328B'}, 'GEM': {'G601675'}, 'JRC': {'JRC-H328'}, 'OPSD': {'OEU-214'}, 'GEO': {'GEO-39738'}, 'GPD': {'WRI1002742'}}"
